Countries,2019,2020,2021
Algeria,235.9904316,206.0351176,204.5666185
Angola,64.65779129,55.05102296,64.16341698
Benin,29.37922329,30.64243452,35.12914731
Botswana,408.8960226,358.9055096,457.4629903
Botswana,18.20264017,,
Burkina Faso,41.07073135,54.17692863,56.95097995
Burkina Faso,1.74938576,2.31829122,2.28307723
Burundi,22.95755092,27.07072719,24.26920786
Burundi,,2.10363007,
Cabo Verde,171.7717231,196.2696301,247.907949
Cameroon,56.18640685,58.09696973,63.78602094
Cameroon,1.69857208,,
Central African Republic,33.94442959,40.11012295,42.92785658
Chad,31.30481575,35.72977554,35.63117783
Comoros,77.80074929,88.67053059,99.03723825
Comoros,21.45509199,,
Congo,58.90272215,80.80834904,80.5149241
Congo,1.00292394,4.11200463,
cote d'Ivoire,73.64801652,85.17427902,81.86915193
Cote d'Ivoire,5.91247104,19.62926603,
Democratic Republic of the Congo,19.85771598,21.25385785,22.32123662
Democratic Republic of the Congo,0.5273083,0.71134302,1.91604441
Equatorial Guinea,231.8395331,246.7667349,255.5652465
Equatorial Guinea,4.62229462,7.45550734,7.51940756
Eritrea,25.98394481,24.70353187,25.3604046
Eswatini,274.9451091,222.5316071,279.9142908
Eswatini,,,19.43337726
Ethiopia,26.2291695,28.69670948,26.47735401
Ethiopia,,2.38053257,
Gabon,208.2883364,228.0245907,233.8710209
Gabon,14.30655026,,
Gambia,22.83254961,26.24802007,24.62883497
Gambia,1.28639468,,
Ghana,93.18772507,87.44453233,100.0009664
Guinea,42.68258686,41.61954636,44.68689682
Guinea,1.97273099,1.35245382,1.92023917
Guinea-Bissau,54.01770209,68.04572362,68.81868592
Guinea-Bissau,,0.63996491,3.9889981
Kenya,86.06783302,86.67868904,94.67255012
Kenya,9.70529178,,
Lesotho,130.4407304,96.72643575,114.7088147
Liberia,52.02645387,101.2913045,112.270443
Liberia,1.66124911,1.7696942,
Madagascar,15.8872948,17.2160549,17.64008857
Madagascar,0.79945584,3.18782265,2.02566657
Malawi,41.78248328,42.54142304,46.55551136
Mali,32.17400909,28.85294715,40.12025054
Mali,1.4710866,0.89138652,
Mauritania,60.74599889,63.29884338,89.28844621
Mauritius,670.9739794,569.4340358,564.9007463
Mozambique,40.41285282,34.37061287,44.52215602
Mozambique,3.24338033,3.63588032,2.70569326
Namibia,432.1457872,378.4246718,456.4360261
Niger,31.2199417,34.85019417,34.34204946
Niger,2.92464885,1.50487917,1.52391615
Nigeria,69.68148362,69.76184855,83.84061032
Nigeria,3.1407556,3.57230181,3.56019483
Rwanda,51.18757659,57.91234338,60.2185933
Sao Tome and Principe,106.2677563,158.9619116,186.103972
Sao Tome and Principe,0.24465958,3.95593209,4.90874489
Senegal,65.75260603,76.78000167,71.22033041
Senegal,8.13980887,11.40649603,
Seychelles,769.7479856,781.5196467,718.4899822
Sierra Leone,46.25284153,46.01692953,43.16198868
Sierra Leone,0.91822863,5.68276912,2.22130228
South Africa,551.4352289,492.2072685,583.6711274
South Sudan,34.98891723,47.67607139,32.67995869
Togo,50.15758225,54.17138096,54.14671532
Togo,3.24698967,9.96406059,10.11369502
Uganda,33.40487458,36.87843002,43.44807656
Uganda,1.38594943,,
United Republic of Tanzania,39.5618281,31.39298596,37.15990056
Zambia,85.64040933,60.4353421,75.3394898
Zambia,4.99273308,7.53286703,3.5818867
Zimbabwe,54.80850613,50.67651179,62.73724021
Zimbabwe,1.86406243,1.75653967,
Antigua and Barbuda,801.5438124,875.7010145,923.4073196
Antigua and Barbuda,3.89341516,0.79645377,0.45378759
Argentina,1016.230821,895.0846938,1044.772674
Bahamas,1898.856365,1824.875365,1961.677909
Bahamas,28.91285282,29.69457883,355.1261505
Barbados,1172.40537,1238.587199,1400.435796
Barbados,74.21710189,,13.51512538
Belize,298.9605127,279.658011,310.1950053
Belize,1.77903211,0.19031679,2.46118926
Bolivia (Plurinational State of),239.1754396,246.1977631,272.9592306
Bolivia (Plurinational State of),28.23596982,,
Brazil,850.4329146,704.995413,761.2677412
Brazil,25.87186403,14.41312939,
Canada,5115.975739,5668.347385,6470.067511
Canada,180.3266902,209.0500896,247.9680932
Chile,1369.484128,1280.632429,1518.040128
Colombia,500.731365,462.2327911,557.5394854
Costa Rica,914.8847472,953.0825301,948.9216709
Costa Rica,36.36793667,51.91314549,40.02358053
Cuba,1013.101384,1186.156519,
Cuba,8.56256947,7.47741423,
Dominica,442.5115882,420.0246212,482.4296503
Dominica,51.18628653,50.6518322,446.3115561
Dominican Republic,346.5078842,354.0935984,416.8997373
Ecuador,484.3680635,471.8757674,494.3083494
Ecuador,18.93155632,12.16123254,12.2244755
El Salvador,377.025599,354.4869999,442.2137349
El Salvador,8.23933872,15.91687557,13.18441333
Grenada,487.6029283,469.007744,505.404629
Grenada,24.43672459,20.78551296,53.77828009
Guatemala,278.5489594,289.1265601,340.9581322
Guatemala,5.40898872,5.50929841,2.10640812
Guyana,317.6022514,377.8700061,470.5687864
Guyana,17.50491338,25.04824172,29.36410627
Haiti,49.08564227,44.1798359,57.87849572
Haiti,1.90873231,6.16446138,
Honduras,184.0391815,212.6973335,253.9180441
Honduras,1.75609847,2.08835454,1.47569468
Jamaica,343.0619244,324.4832217,372.4513654
Jamaica,8.1023873,8.07160169,3.76372616
Mexico,552.7042322,538.5174846,610.6452765
Mexico,6.46558223,11.47552044,7.98151218
Nicaragua,161.9863349,161.199824,198.0779362
Nicaragua,5.46311692,11.52140913,22.16003705
Panama,1340.137812,1358.090585,1415.244988
Panama,128.9238548,118.2643607,133.2806438
Paraguay,415.8887985,410.8871572,478.7082769
Paraguay,10.68060284,12.4250072,14.01005868
Peru,366.5649406,388.4872844,412.2085504
Peru,24.00809147,25.06365983,26.82789914
Saint Kitts and Nevis,1204.340819,1050.643762,1114.374303
Saint Kitts and Nevis,75.67525649,99.24078058,141.8941858
Saint Lucia,491.4068193,574.3797647,584.6704393
Saint Lucia,18.2339582,19.06358566,30.34310977
Saint Vincent and the Grenadines,369.373635,402.0598385,448.3102222
Saint Vincent and the Grenadines,24.33411418,26.86606651,5.73542296
Suriname,611.9544619,464.222642,298.9328098
Trinidad and Tobago,1071.8962,1045.729,1125.397342
Trinidad and Tobago,34.82583491,43.43481364,34.87934427
United States of America,10658.39744,11758.42443,12012.24107
United States of America,411.3278809,398.3731156,431.9160566
Uruguay,1677.097991,1427.140324,1620.326405
Uruguay,37.41616732,24.18162188,27.43200037
Venezuela (Bolivarian Republic of),113.2855097,152.7583086,160.0984
Afghanistan,74.23410411,80.28805103,81.319762
Afghanistan,1.57197412,2.16743931,2.00899454
Bahrain,1024.390545,1105.324931,1146.837618
Djibouti,62.30675214,62.7510007,87.74767497
Egypt,145.3102918,150.9065498,179.6812187
Iran (Islamic Republic of),378.4741696,338.2497359,392.5414387
Iraq,239.5789159,245.480484,248.9231281
Iraq,0.7461756,,2.94822663
Jordan,294.1892834,284.534389,299.0723449
Jordan,13.44208074,,
Kuwait,1643.569705,1542.32255,1860.783755
Kuwait,134.8130463,130.7546637,103.4182823
Lebanon,782.2051756,522.4200851,307.1348517
Morocco,177.2455753,193.1023512,221.1148448
Oman,728.2548282,855.2967454,852.6234253
Oman,13.4142157,12.66788871,12.94501287
Pakistan,37.22461343,38.17708569,43.09069813
Pakistan,,1.70485189,
Qatar,2012.22573,1997.788219,1934.080172
Saudi Arabia,1279.690753,1355.716607,1441.998727
Sudan,35.51281462,23.34439355,21.58010704
Tunisia,209.5261379,246.5980904,265.4648474
United Arab Emirates,1990.284648,2191.813632,2351.805415
United Arab Emirates,,13.21953946,9.46732154
Albania,367.7584108,396.8802298,464.7428706
Albania,9.31901834,9.4486669,12.35688048
Andorra,3026.597567,3269.297474,3505.991402
Andorra,42.52486892,,
Armenia,549.4743782,551.543448,612.7809172
Armenia,1.47183233,2.69262131,1.40077394
Austria,5263.391004,5566.972448,6504.807536
Azerbaijan,196.8763936,242.7584482,249.0752793
Azerbaijan,7.76054717,,
Belarus,390.2497088,408.0947085,467.5241048
Belarus,8.31929214,,11.56084945
Belgium,5049.577169,5104.025377,5680.231386
Bosnia and Herzegovina,543.9828432,591.4064362,691.5258671
Bulgaria,697.8938525,856.7008976,1040.022973
Croatia,1040.085627,1094.532903,1384.119211
Cyprus,2093.059906,2362.395261,2989.652653
Czechia,1803.052556,2119.268354,2498.516663
Denmark,6058.83026,6442.396812,7382.213231
Estonia,1599.350351,1789.034556,2094.503299
Finland,4460.109192,4736.337575,5487.877586
France,4504.500906,4755.433128,5380.884675
Georgia,308.5666493,354.7251295,417.0745546
Georgia,2.48811439,,
Germany,5486.989067,5936.251495,6626.004351
Greece,1569.028748,1675.120452,1845.773965
Hungary,1054.280776,1172.839677,1381.621167
Iceland,5865.231148,5651.727483,6716.368547
Ireland,5462.730766,6098.266305,6764.258728
Israel,3354.445702,3637.032017,4338.940775
Italy,2910.646797,3061.868625,3349.601987
Kazakhstan,270.0130625,338.3031683,402.9828928
Kyrgyzstan,63.05092684,63.69370524,72.85206308
Kyrgyzstan,4.79426361,,
Latvia,1183.115148,1313.354164,1897.95269
Lithuania,1369.979545,1520.392286,1858.587118
Luxembourg,6221.738814,6785.862141,7635.702382
Malta,2943.631265,3135.766366,3641.619458
Monaco,7730.602824,7812.287605,8634.260183
Montenegro,732.3495257,866.1682443,985.0911426
Montenegro,7.81343302,13.35607699,9.35340768
Netherlands (Kingdom of the),5340.612951,5858.424828,6539.198574
North Macedonia,421.389751,452.966405,560.3095233
North Macedonia,8.16802022,5.81215545,8.4161295
Norway,8007.342287,7704.44708,9020.622262
Poland,1014.03826,1025.984872,1159.328559
Portugal,2221.701729,2346.334947,2746.705863
Republic of Moldova,284.309957,306.6489349,410.1229587
Republic of Moldova,,,13.8941319
Romania,738.5690728,809.589038,963.0128609
Russian Federation,653.9998926,771.3247476,935.7337057
San Marino,3854.095527,3842.773985,4131.942069
San Marino,80.17905213,99.28961381,52.39958754
Serbia,641.1731426,670.1903563,919.1679346
Slovakia,1342.062465,1393.624513,1684.515604
Slovenia,2219.100617,2417.208632,2774.986396
Spain,2716.833236,2899.018794,3234.293069
Sweden,5652.989411,6003.093795,6900.784785
Switzerland,9341.06165,10085.45609,10897.45073
Tajikistan,61.7663307,69.69443808,73.42661088
Tajikistan,0.66842446,5.95914715,
T?rkiye,397.4091366,395.2404197,441.0622532
Turkmenistan,488.623861,483.795588,565.2592454
Ukraine,246.9131421,269.7289797,367.9831555
Ukraine,9.52687451,44.23591796,
United Kingdom of Great Britain and Northern Ireland,4268.677139,4906.239663,5738.484774
Uzbekistan,98.58741135,120.4461787,157.152896
Uzbekistan,1.41714375,1.82882237,2.2748664
Bangladesh,47.66782313,50.66413083,57.93857058
Bhutan,115.3207994,133.7031366,120.4311742
Bhutan,18.1073268,18.31550292,48.64965314
India,60.95106113,64.03266705,74.03649002
India,6.38232043,7.19895948,
Indonesia,119.4984421,133.2563582,160.6417613
Indonesia,8.53589472,,
Maldives,851.5093766,825.5689972,1038.667767
Maldives,147.8839157,139.1432354,
Myanmar,61.57227747,72.03525047,65.23147955
Myanmar,0.80032462,1.11077673,0.42594037
Nepal,52.83312818,58.31042328,65.30171596
Nepal,3.7830613,6.01723781,8.64129749
Sri Lanka,160.3137277,157.9122124,166.1812199
Thailand,289.1784501,305.0879187,364.3696635
Timor-Leste,79.26289605,120.869742,134.9980044
Australia,5545.910138,5958.765341,7055.368164
Brunei Darussalam,674.6515563,650.7735402,693.405559
Brunei Darussalam,19.41117686,,
Cambodia,114.4853371,112.2142228,122.4164564
Cambodia,0.86018994,,
China,539.619467,583.4321674,670.5145827
China,58.64203896,64.86651754,
Cook Islands,575.214109,607.3052113,736.6638093
Cook Islands,70.61773942,67.86446755,161.0004304
Fiji,253.7433097,231.9827681,250.0255421
Japan,4463.277157,4436.240827,4347.339053
Kiribati,177.4712383,238.0097833,261.5286135
Kiribati,0.5035768,80.59327864,13.17321945
Lao People's Democratic Republic,67.81835924,52.15843474,68.87697964
Lao People's Democratic Republic,3.11765545,3.80271436,2.94420418
Malaysia,427.4628636,414.9634923,487.0088368
Malaysia,19.45514434,,
Marshall Islands,782.2356625,707.5192479,766.9441141
Marshall Islands,5.60027946,9.23537609,26.15933413
Micronesia (Federated States of),420.5794951,398.5736912,393.349303
Micronesia (Federated States of),1.16398766,0.53520536,1.06071722
Mongolia,197.5520632,188.5712416,315.5797896
Mongolia,9.74285646,11.67019258,18.47399349
Nauru,1159.385823,1318.904172,1529.519158
Nauru,56.85011436,72.24295063,148.2802951
New Zealand,4063.069023,4223.217123,4906.07084
Niue,1156.833682,1319.095161,1911.766573
Niue,0,0,
Palau,2102.074774,2058.661752,2045.297381
Palau,111.0708007,,
Papua New Guinea,60.31322644,56.3073905,61.41453081
Papua New Guinea,6.59507534,7.20085295,8.2580201
Philippines,142.2366599,166.4492483,203.1768036
Philippines,14.76049776,15.90367427,14.05328549
Republic of Korea,2605.993265,2648.224017,3260.448864
Samoa,240.1010586,252.8403468,263.8859487
Samoa,0.62638299,6.55134824,
Singapore,2826.010023,3367.756448,3969.890893
Singapore,175.4271695,116.3832661,134.0563902
Solomon Islands,103.7242853,106.6113816,106.3458716
Solomon Islands,7.80058631,2.9914781,4.65507721
Tonga,229.9441227,246.8402783,279.2460142
Tonga,7.88456449,7.39888286,10.18831371
Tuvalu,1109.266429,879.4911412,1070.957616
Tuvalu,0,380.4751101,4.9817725
Vanuatu,101.9744109,116.5592632,133.1509221
Vanuatu,4.398953,8.36533155,1.71770702
Viet Nam,173.6494935,154.2351034,172.5529812
Viet Nam,,10.90576803,7.98660623
